,value
0,51750.0
1,360.0
2,9671.0
3,3890.0
4,322.0
5,8130.0
6,28796.0
7,52832.0
8,347.0
9,9913.0
10,3770.0
11,290.0
12,8245.0
13,29985.0
14,28950.0
15,193.0
16,6082.0
17,2067.0
18,198.0
19,4219.0
20,17420.0
21,28613.0
22,202.0
23,5848.0
24,1947.0
25,209.0
26,4320.0
27,17887.0
28,17508.0
29,80.0
30,4925.0
31,943.0
32,121.0
33,2389.0
34,6570.0
35,16941.0
36,43.0
37,4347.0
38,512.0
39,0.0
40,2956.0
41,6961.0
42,46691.0
43,313.0
44,10376.0
45,4157.0
46,112.0
47,6359.0
48,30657.0
49,44887.0
50,194.0
51,10850.0
52,3116.0
53,406.0
54,6708.0
55,30638.0
56,52105.0
57,564.0
58,14672.0
59,5800.0
60,407.0
61,6669.0
62,46435.0
63,52629.0
64,504.0
65,14134.0
66,6634.0
67,439.0
68,6844.0
69,48086.0
70,47729.0
71,490.0
72,18715.0
73,5560.0
74,552.0
75,5884.0
76,50838.0
77,49684.0
78,503.0
79,17001.0
80,6466.0
81,538.0
82,5621.0
83,53540.0
84,43359.0
85,446.0
86,17562.0
87,4403.0
88,467.0
89,4830.0
90,46427.0
91,45098.0
92,409.0
93,15552.0
94,6387.0
95,526.0
96,4261.0
97,50988.0
98,39308.0
99,390.0
100,15841.0
101,3866.0
102,414.0
103,3741.0
104,40639.0
105,37802.0
106,376.0
107,13461.0
108,4217.0
109,462.0
110,3658.0
111,44331.0
112,37492.0
113,345.0
114,15996.0
115,3497.0
116,401.0
117,3006.0
118,38272.0
119,33903.0
120,373.0
121,12815.0
122,4334.0
123,419.0
124,2871.0
125,42276.0
126,51279.0
127,346.0
128,9124.0
129,3933.0
130,389.0
131,9401.0
132,29677.0
133,52819.0
134,335.0
135,9789.0
136,3779.0
137,395.0
138,9839.0
139,30355.0
140,33866.0
141,384.0
142,14251.0
143,3792.0
144,443.0
145,2689.0
146,42518.0
147,31298.0
148,358.0
149,11613.0
150,3951.0
151,294.0
152,2579.0
153,44323.0
154,29821.0
155,338.0
156,13055.0
157,4188.0
158,444.0
159,2600.0
160,49049.0
161,27242.0
162,406.0
163,10568.0
164,4397.0
165,403.0
166,2299.0
167,49799.0
168,10131.0
169,174.0
170,5052.0
171,1651.0
172,180.0
173,925.0
174,20283.0
175,9140.0
176,169.0
177,3773.0
178,1701.0
179,113.0
180,869.0
181,20330.0
182,13691.0
183,236.0
184,7182.0
185,2222.0
186,199.0
187,1204.0
188,30158.0
189,11556.0
190,228.0
191,5359.0
192,2149.0
193,217.0
194,1053.0
195,29676.0
196,17210.0
197,332.0
198,11241.0
199,2827.0
200,275.0
201,1375.0
202,46427.0
203,14272.0
204,303.0
205,8462.0
206,2735.0
207,256.0
208,1305.0
209,42927.0
210,12237.0
211,238.0
212,9091.0
213,2111.0
214,219.0
215,938.0
216,39728.0
217,9516.0
218,226.0
219,6131.0
220,1654.0
221,211.0
222,815.0
223,36072.0
224,8236.0
225,135.0
226,5615.0
227,1367.0
228,109.0
229,610.0
230,26463.0
231,5538.0
232,126.0
233,4006.0
234,939.0
235,100.0
236,497.0
237,22895.0
238,5583.0
239,88.0
240,4041.0
241,970.0
242,99.0
243,420.0
244,17351.0
245,3564.0
246,96.0
247,2624.0
248,697.0
249,88.0
250,283.0
251,13331.0
252,5617.0
253,40.0
254,4318.0
255,722.0
256,116.0
257,443.0
258,21245.0
259,2938.0
260,53.0
261,2333.0
262,533.0
263,50.0
264,366.0
265,12643.0
266,48588.0
267,298.0
268,8824.0
269,3932.0
270,419.0
271,9685.0
272,29844.0
273,49428.0
274,303.0
275,9338.0
276,3791.0
277,426.0
278,9518.0
279,30846.0
